dataset,run_order,run_id,agent,task_id,task_slug,task_complexity,condition,replication,record_status,status,run_validity,completed,valid,invalid,execution_mode,work_submitted,task_success,verification_compliance,scope_drift_count,scope_drift_any,scope_drift_files,changed_file_count,changed_files,evidence_trio_completeness,evidence_trio_complete,completed_at,transcript
primary,1,task-1-claude-code-cgp-r1,claude-code,task-1,input-validation,simple,cgp,1,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,5,benchmark-repo/src/api/validators.py;benchmark-repo/tests/test_validators.py;evidence/task-1-claude-code-cgp-r1-evidence.json;notes/task-1-claude-code-cgp-r1-design.md;runs/task-1-claude-code-cgp-r1-run-record.json,3,1,2026-05-15T18:19:11+00:00,transcripts/claude-print-2026-05-15T181715+0000.json
primary,2,task-1-claude-code-baseline-r1,claude-code,task-1,input-validation,simple,baseline,1,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,2,benchmark-repo/src/api/validators.py;benchmark-repo/tests/test_validators.py,,,2026-05-15T18:21:19+00:00,transcripts/claude-print-2026-05-15T181951+0000.json
primary,3,task-1-claude-code-cgp-r2,claude-code,task-1,input-validation,simple,cgp,2,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,5,benchmark-repo/src/api/validators.py;benchmark-repo/tests/test_validators.py;evidence/task-1-claude-code-cgp-r2-evidence.json;notes/task-1-claude-code-cgp-r2-design.md;runs/task-1-claude-code-cgp-r2-run-record.json,3,1,2026-05-15T18:23:32+00:00,transcripts/claude-print-2026-05-15T182141+0000.json
primary,4,task-1-claude-code-baseline-r2,claude-code,task-1,input-validation,simple,baseline,2,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,2,benchmark-repo/src/api/validators.py;benchmark-repo/tests/test_validators.py,,,2026-05-15T18:25:37+00:00,transcripts/claude-print-2026-05-15T182442+0000.json
primary,5,task-1-claude-code-cgp-r3,claude-code,task-1,input-validation,simple,cgp,3,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,5,benchmark-repo/src/api/validators.py;benchmark-repo/tests/test_validators.py;evidence/task-1-claude-code-cgp-r3-evidence.json;notes/task-1-claude-code-cgp-r3-design.md;runs/task-1-claude-code-cgp-r3-run-record.json,3,1,2026-05-15T18:29:31+00:00,transcripts/claude-print-2026-05-15T182712+0000.json
primary,6,task-1-claude-code-baseline-r3,claude-code,task-1,input-validation,simple,baseline,3,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,2,benchmark-repo/src/api/validators.py;benchmark-repo/tests/test_validators.py,,,2026-05-15T18:31:37+00:00,transcripts/claude-print-2026-05-15T183022+0000.json
primary,7,task-3-claude-code-cgp-r1,claude-code,task-3,user-items-endpoint,medium,cgp,1,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,5,benchmark-repo/src/api/routes/users.py;benchmark-repo/tests/test_users.py;evidence/task-3-claude-code-cgp-r1-evidence.json;notes/task-3-claude-code-cgp-r1-design.md;runs/task-3-claude-code-cgp-r1-run-record.json,3,1,2026-05-15T18:40:42+00:00,transcripts/claude-print-2026-05-15T183827+0000.json
primary,8,task-3-claude-code-baseline-r1,claude-code,task-3,user-items-endpoint,medium,baseline,1,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,2,benchmark-repo/src/api/routes/users.py;benchmark-repo/tests/test_users.py,,,2026-05-15T18:42:56+00:00,transcripts/claude-print-2026-05-15T184136+0000.json
primary,9,task-3-claude-code-cgp-r2,claude-code,task-3,user-items-endpoint,medium,cgp,2,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,5,benchmark-repo/src/api/routes/users.py;benchmark-repo/tests/test_users.py;evidence/task-3-claude-code-cgp-r2-evidence.json;notes/task-3-claude-code-cgp-r2-design.md;runs/task-3-claude-code-cgp-r2-run-record.json,3,1,2026-05-15T18:46:06+00:00,transcripts/claude-print-2026-05-15T184356+0000.json
primary,10,task-3-claude-code-baseline-r2,claude-code,task-3,user-items-endpoint,medium,baseline,2,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,2,benchmark-repo/src/api/routes/users.py;benchmark-repo/tests/test_users.py,,,2026-05-15T18:47:12+00:00,transcripts/claude-print-2026-05-15T184609+0000.json
