task_id,task_slug,agent,condition,n,valid_n,valid_rate,invalid_n,work_submitted_rate,task_success_rate,verification_compliance_rate,scope_drift_any_rate,mean_scope_drift_count,mean_changed_file_count,evidence_trio_complete_rate
task-1,input-validation,aider,baseline,3,0,0,3,0,1,1,0,0,0,
task-1,input-validation,aider,cgp,3,2,0.6666666666666666,1,1,0.6666666666666666,0.6666666666666666,0,0,5,1
task-1,input-validation,claude-code,baseline,3,3,1,0,1,1,1,0,0,2,
task-1,input-validation,claude-code,cgp,3,3,1,0,1,1,1,0,0,5,1
task-1,input-validation,codex,baseline,3,3,1,0,1,1,1,0,0,2,
task-1,input-validation,codex,cgp,3,3,1,0,1,1,1,0,0,5,1
task-1,input-validation,gemini-cli,baseline,3,3,1,0,1,1,1,0,0,2,
task-1,input-validation,gemini-cli,cgp,3,3,1,0,1,1,1,0,0,5,1
task-2,user-docstring,aider,baseline,3,0,0,3,0,1,1,0,0,0,
task-2,user-docstring,aider,cgp,3,3,1,0,1,1,1,0,0,4,1
task-2,user-docstring,claude-code,baseline,3,3,1,0,1,1,1,0,0,1,
task-2,user-docstring,claude-code,cgp,3,3,1,0,1,1,1,0,0,4,1
task-2,user-docstring,codex,baseline,3,3,1,0,1,1,1,0,0,1,
task-2,user-docstring,codex,cgp,3,3,1,0,1,1,1,0,0,4,1
task-2,user-docstring,gemini-cli,baseline,3,3,1,0,1,1,1,0,0,1,
task-2,user-docstring,gemini-cli,cgp,3,3,1,0,1,1,1,0,0,4,1
task-3,user-items-endpoint,aider,baseline,3,0,0,3,0,1,1,0,0,0,
task-3,user-items-endpoint,aider,cgp,3,3,1,0,1,1,1,0,0,5,1
task-3,user-items-endpoint,claude-code,baseline,3,3,1,0,1,1,1,0,0,2,
task-3,user-items-endpoint,claude-code,cgp,3,3,1,0,1,1,1,0,0,5,1
task-3,user-items-endpoint,codex,baseline,3,3,1,0,1,1,1,0,0,2,
task-3,user-items-endpoint,codex,cgp,3,3,1,0,1,1,1,0,0,5,1
task-3,user-items-endpoint,gemini-cli,baseline,3,3,1,0,1,1,1,0,0,2,
task-3,user-items-endpoint,gemini-cli,cgp,3,3,1,0,1,1,1,0,0,5,1
task-4,parse-config-refactor,aider,baseline,3,0,0,3,0,1,1,0,0,0,
task-4,parse-config-refactor,aider,cgp,3,2,0.6666666666666666,1,1,1,1,0.3333333333333333,0.3333333333333333,4,0.6666666666666666
task-4,parse-config-refactor,claude-code,baseline,3,3,1,0,1,1,1,0,0,1,
task-4,parse-config-refactor,claude-code,cgp,3,3,1,0,1,1,1,0,0,4,1
task-4,parse-config-refactor,codex,baseline,3,3,1,0,1,1,1,0,0,1,
task-4,parse-config-refactor,codex,cgp,3,3,1,0,1,1,1,0,0,4,1
task-4,parse-config-refactor,gemini-cli,baseline,3,2,0.6666666666666666,1,1,1,1,0.3333333333333333,0.3333333333333333,1.3333333333333333,
task-4,parse-config-refactor,gemini-cli,cgp,3,3,1,0,1,1,1,0,0,4,1
task-5,favorite-items,aider,baseline,3,0,0,3,0,1,1,0,0,0,
task-5,favorite-items,aider,cgp,3,1,0.3333333333333333,2,1,0.3333333333333333,0.3333333333333333,0,0,6,1
task-5,favorite-items,claude-code,baseline,3,3,1,0,1,1,1,0,0,3,
task-5,favorite-items,claude-code,cgp,3,3,1,0,1,1,1,0,0,5.666666666666667,1
task-5,favorite-items,codex,baseline,3,3,1,0,1,1,1,0,0,3,
task-5,favorite-items,codex,cgp,3,3,1,0,1,1,1,0,0,6,1
task-5,favorite-items,gemini-cli,baseline,3,3,1,0,1,1,1,0,0,3,
task-5,favorite-items,gemini-cli,cgp,3,3,1,0,1,1,1,0,0,6,1
task-6,login-empty-password,aider,baseline,3,3,1,0,1,1,1,0,0,1,
task-6,login-empty-password,aider,cgp,3,3,1,0,1,1,1,0,0,5,1
task-6,login-empty-password,claude-code,baseline,3,3,1,0,1,1,1,0,0,2,
task-6,login-empty-password,claude-code,cgp,3,3,1,0,1,1,1,0,0,5,1
task-6,login-empty-password,codex,baseline,3,3,1,0,1,1,1,0,0,2,
task-6,login-empty-password,codex,cgp,3,3,1,0,1,1,1,0,0,5,1
task-6,login-empty-password,gemini-cli,baseline,3,3,1,0,1,1,1,0,0,2,
task-6,login-empty-password,gemini-cli,cgp,3,3,1,0,1,1,1,0,0,5,1
