run_order,run_id,agent,task_id,task_slug,task_complexity,condition,replication,condition_order_within_pair,start_tag,task_spec
1,task-1-codex-cgp-r1,codex,task-1,input-validation,simple,cgp,1,cgp-then-baseline,task-1-start,docs/task_specs/task-1-input-validation.md
2,task-1-codex-baseline-r1,codex,task-1,input-validation,simple,baseline,1,cgp-then-baseline,task-1-start,docs/task_specs/task-1-input-validation.md
3,task-1-codex-cgp-r2,codex,task-1,input-validation,simple,cgp,2,cgp-then-baseline,task-1-start,docs/task_specs/task-1-input-validation.md
4,task-1-codex-baseline-r2,codex,task-1,input-validation,simple,baseline,2,cgp-then-baseline,task-1-start,docs/task_specs/task-1-input-validation.md
5,task-1-codex-cgp-r3,codex,task-1,input-validation,simple,cgp,3,cgp-then-baseline,task-1-start,docs/task_specs/task-1-input-validation.md
6,task-1-codex-baseline-r3,codex,task-1,input-validation,simple,baseline,3,cgp-then-baseline,task-1-start,docs/task_specs/task-1-input-validation.md
7,task-3-codex-cgp-r1,codex,task-3,user-items-endpoint,medium,cgp,1,cgp-then-baseline,task-3-start,docs/task_specs/task-3-user-items-endpoint.md
8,task-3-codex-baseline-r1,codex,task-3,user-items-endpoint,medium,baseline,1,cgp-then-baseline,task-3-start,docs/task_specs/task-3-user-items-endpoint.md
9,task-3-codex-cgp-r2,codex,task-3,user-items-endpoint,medium,cgp,2,cgp-then-baseline,task-3-start,docs/task_specs/task-3-user-items-endpoint.md
10,task-3-codex-baseline-r2,codex,task-3,user-items-endpoint,medium,baseline,2,cgp-then-baseline,task-3-start,docs/task_specs/task-3-user-items-endpoint.md
11,task-3-codex-cgp-r3,codex,task-3,user-items-endpoint,medium,cgp,3,cgp-then-baseline,task-3-start,docs/task_specs/task-3-user-items-endpoint.md
12,task-3-codex-baseline-r3,codex,task-3,user-items-endpoint,medium,baseline,3,cgp-then-baseline,task-3-start,docs/task_specs/task-3-user-items-endpoint.md
13,task-6-codex-baseline-r1,codex,task-6,login-empty-password,complex,baseline,1,baseline-then-cgp,task-6-start,docs/task_specs/task-6-login-empty-password.md
14,task-6-codex-cgp-r1,codex,task-6,login-empty-password,complex,cgp,1,baseline-then-cgp,task-6-start,docs/task_specs/task-6-login-empty-password.md
